element_id,part_num,color_id,design_id
3004326,30043,0,30043
4493794,32087,72,
4633181,59231pr0004,1103,
4265303,31213pr0005,4,
4178322,2587,0,2587
4653597,92742pr0003,0,
3000743,4215a,33,30007
6043097,30408,1,
4156512,40703c01,36,
6108553,18895,0,18895
4118911,31213pr0009,14,
4142034,31238,4,
4168741,2446pr0035,4,
6494805,37191h01,2,
4560455,85863pr0008,1,
4144120,61221pr0002,15,40224
4125376,78c04,7,22518
6519104,10110248,9999,
4161083,2359pr0003,19,
6482758,76371pr9899,27,107908
4173282,4232,34,
4201337,973c17h17pr0335,7,
4121864,72946pat0002,14,
4497066,3001,28,
3010644,30106,46,
6075059,10166pr0001,84,
6551566,10114119,9999,114119
4655588,98569,1103,98569
4163607,42013,135,42013
6207377,4282,14,4282
4175692,3162c01,8,
4140075,32349,4,
6199065,973c38h01pr9946,379,
6476665,28621pr9784,326,107136
6541362,28621pr9682,4,112835
6595593,10116546,9999,116546
4185065,30633,33,
4119000,31214pr0001,1,
4168725,2446pr0039,4,
4140359,32191,80,
4193490,30633,143,
4642442,42022,35,
6433543,10102768,9999,102768
6104575,3626cpr1629,92,
4237422,3437pr0067,1,
6510985,1686,1,1686
6507800,1749,15,1749
4567999,88516,0,88516
6469416,2514,70,
4218890,3046a,0,3046
4589895,970c24,379,88584
6397095,970c22pat03pr2198,4,1901
4193779,32173,0,32173
6388482,4162,14,4162
4162474,31238,4,
4124277,6540a,7,
4142283,2548,15,
4191117,44569,1,
6609687,7333,71,7333
6323929,51274,15,51274
196715,196715,9999,
6551569,10114120,9999,114120
6350508,19723,1103,38000
163555,163555,9999,
4236007,47345,72,47342
4116819,890,15,
6613799,86652,4,86652
4109770,80045,15,
4113267,30135,0,30135
4215149,3039pr0008,0,83708
4228055,78c04,15,
4112082,30180pr0003,14,83012
4144518,45751c01,7,
6100851,18846pr0001,0,19656
6514208,3005,114,35382
6027996,2397,0,2397
6326281,3626cpr9792,14,73114
6611679,85984pr0025,72,118095
6535680,87079pr9875,0,
6481629,101117c01pr0003,378,107768
6013742,10055pr0001,308,
4142953,30408,15,
6055879,10190,0,10190
4667165,57520pr0001,179,64889
4174131,41750pr0002,27,
4106979,72881,100,0
6014652,30381,0,96232
6078611,43337,14,
4242385,50859b,0,50859
6345091,28432pr0002,1050,
6557675,90388,0,
6230116,58181,40,35283
4144457,40517,4,
4174144,973c22h03pr0223,4,
4143875,30602,0,30602
4174866,32288c01,0,
6069830,3626cpr0014,72,
4255346,6465c02,15,
6552141,99781,15,
4234726,48933,0,
4585361,85863pr0022,15,
4140077,32349,22,
6069972,970c03pr0009,320,
4116903,3009pr0022,4,
4156480,40697c02,36,
4173493,4232,52,
6445851,19900pr0001,308,
4239200,3941,2,
6236276,3068bpr0163,15,
4118697,30351c01,15,72650
4201330,970c17pr0026,7,
6535679,87079pr9878,0,
6535682,87079pr9887,0,
4207646,47521,1,
6033186,13845pr0001,0,
6070054,3626cpr0013,2,
4172333,30168pr0002,19,
4140358,32190,80,
4494480,53457,135,53457
4541238,2431,19,
4258062,41862,135,41862
4494065,6075,135,6075
4175226,30602pr0028,2,
4186763,2446pr0048,1,
6484298,79895pat0001,320,
4161206,41749,1,
6233668,3626cpr9910,78,
4163190,3626bpr0112,14,
4114714,31193pr0002,0,
4141648,43337,2,
6233621,3626cpr9912,78,
6555095,970c10pr0010,320,114286
6078253,85080,0,
6510983,1686,320,1686
4612563,75c08,0,60675
6512328,1942,1053,1942
4521072,973c19h03pr1358,0,76382
4558850,73590c03a,0,64230
4195197,3300,0,3300
6000215,970c09,85,88584
4529549,32555,0,32555
4189286,78c06,0,71944
6109599,41879a,2,90380
4583627,41879a,70,90380
4118685,890,0,
4614226,75c09,0,76324
6326903,973c01h01pr9998,288,76382
4630140,973c27h01pr1806,0,88585
4630159,970c03pr0238,0,96758
4191111,44569,71,
6601025,10117134,9999,
6037506,3844,0,3844
4643356,31384,19,
4584483,30613,0,30613
4539079,54200,320,
4106527,71348,14,
6326087,51274,70,51274
6601950,3062bpr0038,272,117228
406621,4066,4,4066
4646781,57520pr0001,135,
6102659,84638c04pr2821,0,84638
6413060,25386,19,
6083540,85974pr0004,0,18494
4547251,61506,0,61506
4295417,14226c11,0,56576
4116902,3009pr0049,0,
74741,2909c03,0,74741
4142082,30350apr0001,14,
4188717,2335pr0021,8,
4230877,3069bpr0084,72,50446
4542397,2450,70,
4114643,30230pr0001,33,83222
6032245,973c03h03pr1148,0,76382
6022761,11947,0,11947
6014648,88323,0,88323
6070518,53992,0,13972
4143213,30462,484,76443
4174133,41749pr0002,27,
4140080,32349,14,
6533802,4450,71,4450
4114689,32124,0,32124
6235087,41879a,15,90380
4144536,32084,0,32084
4275674,48092,0,48092
4585362,85863pr0021,1,
6477846,970c22pat19pr0001,4,107347
6107820,973g03c02h02pr0001,0,
6477829,10169,14,17833
4131309,630015,9999,630015
4119397,76080c01pr0003,4,
4118717,scafig0008,92,75581
4161071,30114,0,
6143297,973c30h28pr3190,71,
4140328,32249,0,32249
6588810,74698,72,74698
